OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,OrderAmt
10248,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,"Vins et alcools Chevalier","59 rue de l'Abbaye",Reims,,51100,France,440.0
10249,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,"Toms Spezialitäten","Luisenstr. 48","Münster",,44087,Germany,1863.4
10250,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,"Hanari Carnes","Rua do Paço 67","Rio de Janeiro",RJ,05454-876,Brazil,1552.6
10251,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,"Victuailles en stock","2 rue du Commerce",Lyon,,69004,France,654.06
10252,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2,51.3,"Suprêmes délices","Boulevard Tirou 255",Charleroi,,B-6000,Belgium,3597.9
10253,HANAR,3,1996-07-10,1996-07-24,1996-07-16,2,58.17,"Hanari Carnes","Rua do Paço 67","Rio de Janeiro",RJ,05454-876,Brazil,1444.8
10254,CHOPS,5,1996-07-11,1996-08-08,1996-07-23,2,22.98,"Chop-suey Chinese","Hauptstr. 31",Bern,,3012,Switzerland,556.62
10255,RICSU,9,1996-07-12,1996-08-09,1996-07-15,3,148.33,"Richter Supermarkt","Starenweg 5","Genève",,1204,Switzerland,2490.5
10256,WELLI,3,1996-07-15,1996-08-12,1996-07-17,2,13.97,"Wellington Importadora","Rua do Mercado 12",Resende,SP,08737-363,Brazil,517.8
10257,HILAA,4,1996-07-16,1996-08-13,1996-07-22,3,81.91,HILARION-Abastos,"Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira",5022,Venezuela,1119.9
10258,ERNSH,1,1996-07-17,1996-08-14,1996-07-23,1,140.51,"Ernst Handel","Kirchgasse 6",Graz,,8010,Austria,1614.88
10259,CENTC,4,1996-07-18,1996-08-15,1996-07-25,3,3.25,"Centro comercial Moctezuma","Sierras de Granada 9993","México D.F.",,5022,Mexico,100.8
10260,OTTIK,4,1996-07-19,1996-08-16,1996-07-29,1,55.09,"Ottilies Käseladen","Mehrheimerstr. 369","Köln",,50739,Germany,1504.65
10261,QUEDE,4,1996-07-19,1996-08-16,1996-07-30,2,3.05,"Que Delícia","Rua da Panificadora 12","Rio de Janeiro",RJ,02389-673,Brazil,448.0
10262,RATTC,8,1996-07-22,1996-08-19,1996-07-25,3,48.29,"Rattlesnake Canyon Grocery","2817 Milton Dr.",Albuquerque,NM,87110,USA,584.0
10263,ERNSH,9,1996-07-23,1996-08-20,1996-07-31,3,146.06,"Ernst Handel","Kirchgasse 6",Graz,,8010,Austria,1873.8
10264,FOLKO,6,1996-07-24,1996-08-21,1996-08-23,3,3.67,"Folk och fä HB","Åkergatan 24","Bräcke",,"S-844 67",Sweden,695.625
10265,BLONP,2,1996-07-25,1996-08-22,1996-08-12,1,55.28,"Blondel père et fils","24 place Kléber",Strasbourg,,67000,France,1176.0
10266,WARTH,3,1996-07-26,1996-09-06,1996-07-31,3,25.73,"Wartian Herkku","Torikatu 38",Oulu,,90110,Finland,346.56
10267,FRANK,4,1996-07-29,1996-08-26,1996-08-06,1,208.58,Frankenversand,"Berliner Platz 43","München",,80805,Germany,3536.6
10268,GROSR,8,1996-07-30,1996-08-27,1996-08-02,3,66.29,GROSELLA-Restaurante,"5ª Ave. Los Palos Grandes",Caracas,DF,1081,Venezuela,1101.2
10269,WHITC,5,1996-07-31,1996-08-14,1996-08-09,1,4.56,"White Clover Markets","1029 - 12th Ave. S.",Seattle,WA,98124,USA,642.2
10270,WARTH,1,1996-08-01,1996-08-29,1996-08-02,1,136.54,"Wartian Herkku","Torikatu 38",Oulu,,90110,Finland,1376.0
10271,SPLIR,6,1996-08-01,1996-08-29,1996-08-30,2,4.54,"Split Rail Beer & Ale","P.O. Box 555",Lander,WY,82520,USA,48.0
10272,RATTC,6,1996-08-02,1996-08-30,1996-08-06,2,98.03,"Rattlesnake Canyon Grocery","2817 Milton Dr.",Albuquerque,NM,87110,USA,1456.0
10273,QUICK,3,1996-08-05,1996-09-02,1996-08-12,3,76.07,QUICK-Stop,"Taucherstraße 10",Cunewalde,,1307,Germany,2037.28
10274,VINET,6,1996-08-06,1996-09-03,1996-08-16,1,6.01,"Vins et alcools Chevalier","59 rue de l'Abbaye",Reims,,51100,France,538.6
10275,MAGAA,1,1996-08-07,1996-09-04,1996-08-09,1,26.93,"Magazzini Alimentari Riuniti","Via Ludovico il Moro 22",Bergamo,,24100,Italy,291.84
10276,TORTU,8,1996-08-08,1996-08-22,1996-08-14,3,13.84,"Tortuga Restaurante","Avda. Azteca 123","México D.F.",,5033,Mexico,420.0
10277,MORGK,2,1996-08-09,1996-09-06,1996-08-13,3,125.77,"Morgenstern Gesundkost","Heerstr. 22",Leipzig,,4179,Germany,1200.8
10278,BERGS,8,1996-08-12,1996-09-09,1996-08-16,2,92.69,"Berglunds snabbköp","Berguvsvägen  8","Luleå",,"S-958 22",Sweden,1488.8
